x,y,z
6.637948,-12.477859,0.000000
5.298052,-13.874725,0.000000
4.196394,-15.457515,0.000000
3.642371,-16.197507,0.000000
2.655481,-17.494385,0.000000
0.948171,-19.655076,0.000000
-0.172173,-21.450034,0.000000
-1.462076,-23.505911,0.000000
-2.799043,-24.952929,0.000000
-3.423835,-25.958912,0.000000
-4.646931,-27.408120,0.000000
-5.708821,-28.864779,0.000000
-6.527107,-29.997541,0.000000
-8.026643,-32.091661,0.000000
-9.220073,-33.862309,0.000000
-10.326203,-35.500178,0.000000
-10.900780,-36.434727,0.000000
-11.601503,-37.157971,0.000000
-13.122913,-39.701344,0.000000
-13.484456,-40.499748,0.000000
-14.043518,-41.365094,0.000000
-16.310960,-45.314660,0.000000
-17.066174,-46.443508,0.000000
-18.407796,-48.369464,0.000000
-19.366069,-49.991554,0.000000
-20.303162,-51.292209,0.000000
-20.618278,-51.916980,0.000000
-20.935218,-52.587016,0.000000
-21.248315,-53.255884,0.000000
-22.945074,-56.310458,0.000000
-23.260310,-57.024679,0.000000
-23.625483,-57.588964,0.000000
-24.322104,-59.024129,0.000000
-24.672451,-59.466245,0.000000
-25.345366,-60.813979,0.000000
-26.052582,-62.194027,0.000000
-26.242121,-62.620798,0.000000
-26.810693,-63.788871,0.000000
-27.001881,-64.192693,0.000000
-27.598442,-65.386822,0.000000
-27.739998,-65.697510,0.000000
-28.297171,-66.892190,0.000000
-28.488750,-67.281451,0.000000
-29.074700,-68.427313,0.000000
-29.311463,-68.776118,0.000000
-29.856586,-69.911825,0.000000
-30.100306,-70.374829,0.000000
-30.747518,-71.626581,0.000000
-31.398139,-72.966935,0.000000
-32.074919,-74.482015,0.000000
-32.719901,-75.884477,0.000000
-33.503815,-77.461420,0.000000
-34.220428,-79.025529,0.000000
-35.210796,-81.212252,0.000000
-36.411481,-83.805960,0.000000
-37.270988,-85.668812,0.000000
-38.065091,-87.626443,0.000000
-38.886888,-89.583033,0.000000
-40.228246,-92.461179,0.000000
-41.027745,-94.422388,0.000000
-41.801969,-96.246278,0.000000
-42.868931,-98.881138,0.000000
-43.266126,-99.868823,0.000000
-44.602578,-102.869229,0.000000
-45.941255,-106.007395,0.000000
-46.677605,-107.926409,0.000000
-47.853260,-110.878132,0.000000
-48.757512,-113.107292,0.000000
-49.532662,-115.217183,0.000000
-50.505333,-118.164736,0.000000
-52.265880,-122.648115,0.000000
-54.031048,-127.693376,0.000000
-55.594880,-132.748493,0.000000
-57.537483,-138.711241,0.000000
-58.859841,-143.248103,0.000000
-60.407304,-147.594110,0.000000
-61.644313,-152.100803,0.000000
-62.881451,-157.608309,0.000000
-64.729052,-164.542324,0.000000
-66.039675,-169.677457,0.000000
-67.829015,-175.891378,0.000000
-68.766516,-180.104543,0.000000
-70.004863,-186.433814,0.000000
-70.948569,-190.650848,0.000000
-71.792703,-194.877981,0.000000
-73.260329,-201.326152,0.000000
-74.065331,-204.588882,0.000000
-74.888352,-208.272445,0.000000
-75.439551,-211.421337,0.000000
-76.128153,-215.078993,0.000000
-76.970043,-218.419054,0.000000
-77.589921,-222.144981,0.000000
-78.310452,-225.679778,0.000000
-79.023383,-229.126555,0.000000
-79.710743,-232.732080,0.000000
-80.564032,-236.361055,0.000000
-81.294411,-240.040540,0.000000
-81.889427,-243.393975,0.000000
-82.562648,-246.608572,0.000000
-83.326950,-250.121341,0.000000
-84.089449,-253.634071,0.000000
-84.431692,-255.546540,0.000000
-84.888314,-259.126437,0.000000
-85.467769,-262.583071,0.000000
-85.996346,-266.414651,0.000000
-86.597264,-270.149202,0.000000
-87.258777,-273.728284,0.000000
-87.925129,-277.391840,0.000000
-88.577868,-281.453824,0.000000
-88.832462,-282.888286,0.000000
-88.950704,-286.287384,0.000000
-89.519492,-289.768506,0.000000
-90.051885,-293.320322,0.000000
-90.546118,-296.959063,0.000000
-91.116604,-300.649772,0.000000
-91.766878,-304.496561,0.000000
-92.365901,-308.300774,0.000000
-92.769450,-311.635612,0.000000
-92.888617,-312.964609,0.000000
-93.585191,-317.984194,0.000000
-93.848466,-319.419958,0.000000
-94.240327,-322.784916,0.000000
-94.679161,-326.367978,0.000000
-95.070802,-329.695576,0.000000
-95.315451,-333.008677,0.000000
-95.733621,-336.577398,0.000000
-95.723093,-338.326336,0.000000
-96.139128,-341.915185,0.000000
-96.480507,-345.555040,0.000000
-96.948747,-349.450580,0.000000
-97.311001,-352.992099,0.000000
-97.375801,-356.654713,0.000000
-97.605897,-360.739157,0.000000
-97.707788,-365.355014,0.000000
-98.258825,-370.312088,0.000000
-98.255115,-372.039775,0.000000
-98.263735,-373.812175,0.000000
-98.237554,-375.472715,0.000000
-97.785495,-380.375900,0.000000
-97.734313,-382.083237,0.000000
-97.277033,-386.986917,0.000000
-96.981728,-389.365603,0.000000
-96.729425,-391.243875,0.000000
-96.403043,-393.700639,0.000000
-95.093713,-398.689764,0.000000
-94.505237,-401.002344,0.000000
-93.545488,-407.510365,0.000000
-93.188445,-409.254553,0.000000
-92.839928,-411.003116,0.000000
-92.384696,-412.666461,0.000000
-90.899416,-418.730454,0.000000
-89.753572,-422.780246,0.000000
-89.263464,-424.465295,0.000000
-87.455932,-429.843498,0.000000
-86.859494,-432.475873,0.000000
-85.901750,-435.976704,0.000000
-84.813303,-439.577628,0.000000
-83.857832,-442.477627,0.000000
-83.161256,-444.101312,0.000000
-80.853311,-451.070528,0.000000
-80.437688,-452.431812,0.000000
-79.798198,-453.906258,0.000000
-78.290945,-457.593082,0.000000
-76.495262,-462.490951,0.000000
-75.687733,-464.300414,0.000000
-74.305494,-467.302910,0.000000
-71.949418,-471.630876,0.000000
-69.047520,-477.061995,0.000000
-66.995846,-480.560124,0.000000
-63.509615,-485.842307,0.000000
-59.265591,-492.176919,0.000000
-61.699969,-488.377706,0.000000
-57.819024,-494.498860,0.000000
-56.029703,-496.911900,0.000000
-53.246052,-500.401012,0.000000
-51.383437,-502.701637,0.000000
-48.764581,-506.236198,0.000000
-46.511010,-508.579193,0.000000
-43.875685,-511.852702,0.000000
-42.885468,-513.209372,0.000000
-40.231377,-516.085778,0.000000
-37.225461,-518.939058,0.000000
-34.677998,-521.558898,0.000000
-31.902450,-523.936884,0.000000
-29.220520,-526.737785,0.000000
-27.005600,-528.626410,0.000000
-24.449401,-531.214744,0.000000
-21.429201,-533.751279,0.000000
-19.688483,-535.539476,0.000000
-19.075321,-536.269439,0.000000
-16.195098,-538.690658,0.000000
-14.621938,-539.887371,0.000000
-11.498644,-542.513127,0.000000
-8.195861,-545.120375,0.000000
-4.900108,-547.105305,0.000000
-0.949589,-550.138897,0.000000
1.282731,-551.393777,0.000000
4.404180,-553.596654,0.000000
6.836306,-555.072726,0.000000
9.861007,-557.008943,0.000000
12.875767,-558.929063,0.000000
15.689723,-560.541522,0.000000
18.372520,-561.856042,0.000000
22.667677,-563.932964,0.000000
26.391766,-565.919906,0.000000
28.964093,-567.257351,0.000000
32.783021,-569.025510,0.000000
36.148926,-570.679295,0.000000
41.245287,-573.063030,0.000000
43.172972,-573.904634,0.000000
47.295837,-575.329767,0.000000
50.964342,-577.059253,0.000000
53.010878,-577.528696,0.000000
55.406803,-578.397260,0.000000
59.038486,-579.281609,0.000000
62.925938,-580.137177,0.000000
67.029248,-581.293333,0.000000
70.638699,-582.298376,0.000000
73.813985,-582.935088,0.000000
76.661035,-583.505008,0.000000
81.335677,-584.600648,0.000000
84.194031,-585.151913,0.000000
90.023236,-586.391150,0.000000
93.236179,-586.914010,0.000000
95.373274,-587.204681,0.000000
99.222766,-587.692754,0.000000
102.297410,-587.911084,0.000000
105.103280,-588.135949,0.000000
108.779726,-588.168902,0.000000
112.935111,-588.087727,0.000000
115.549482,-588.061094,0.000000
120.675554,-588.260614,0.000000
124.075986,-588.338334,0.000000
128.222681,-588.235061,0.000000
132.342299,-588.216813,0.000000
135.453288,-588.160226,0.000000
139.490047,-587.772330,0.000000
142.183613,-587.866211,0.000000
145.431462,-587.434494,0.000000
148.441207,-587.259318,0.000000
152.685515,-586.646377,0.000000
155.913286,-586.254435,0.000000
160.564473,-585.654972,0.000000
163.741877,-585.109322,0.000000
168.011551,-584.429639,0.000000
171.591099,-583.836761,0.000000
175.651681,-583.281803,0.000000
177.284403,-582.547259,0.000000
180.651058,-582.001957,0.000000
184.863699,-580.852440,0.000000
188.289819,-579.781497,0.000000
191.097333,-579.159836,0.000000
193.955558,-577.952270,0.000000
196.182655,-577.042052,0.000000
200.279143,-575.326803,0.000000
203.176537,-573.825584,0.000000
206.577739,-572.399066,0.000000
209.537594,-571.084488,0.000000
212.613774,-569.611134,0.000000
215.781218,-567.908935,0.000000
219.893355,-565.926935,0.000000
223.489729,-563.937167,0.000000
226.968451,-562.356025,0.000000
229.969656,-560.655813,0.000000
232.845301,-559.194644,0.000000
235.463395,-557.742749,0.000000
238.640258,-555.860558,0.000000
241.442806,-554.274081,0.000000
243.732817,-553.043988,0.000000
248.800064,-550.312340,0.000000
254.037586,-546.915095,0.000000
251.580919,-548.638810,0.000000
256.356051,-545.250910,0.000000
259.138668,-543.300603,0.000000
261.585174,-541.554080,0.000000
264.244869,-539.283575,0.000000
267.035297,-536.920260,0.000000
269.723242,-534.540426,0.000000
273.100099,-531.548219,0.000000
275.601958,-529.258337,0.000000
278.406783,-526.876477,0.000000
281.155415,-524.070291,0.000000
283.798679,-521.964356,0.000000
286.370333,-519.435438,0.000000
289.489454,-516.525689,0.000000
291.728189,-514.127720,0.000000
294.403750,-512.053349,0.000000
297.896175,-508.540979,0.000000
301.092958,-505.652560,0.000000
302.352411,-504.141778,0.000000
306.175560,-500.701408,0.000000
307.678018,-499.160155,0.000000
311.686150,-495.383366,0.000000
315.435023,-491.637913,0.000000
316.789709,-490.458517,0.000000
320.283462,-486.924013,0.000000
321.544427,-485.317799,0.000000
325.463201,-481.471167,0.000000
326.709214,-480.054432,0.000000
330.402582,-476.465503,0.000000
331.682642,-475.274767,0.000000
332.741259,-473.632915,0.000000
338.241867,-467.355310,0.000000
339.804401,-465.808864,0.000000
341.639805,-463.202227,0.000000
343.741616,-460.884521,0.000000
345.884088,-458.037839,0.000000
348.020832,-455.445486,0.000000
351.355450,-451.492179,0.000000
353.297630,-448.605868,0.000000
355.485696,-446.005288,0.000000
358.765506,-442.206640,0.000000
359.844758,-440.699359,0.000000
362.869872,-436.801293,0.000000
365.948034,-433.138351,0.000000
367.510291,-431.568316,0.000000
370.524370,-427.688040,0.000000
371.618333,-426.247407,0.000000
374.467413,-422.749465,0.000000
377.985625,-418.469575,0.000000
378.568208,-417.046204,0.000000
381.938795,-413.214579,0.000000
383.250360,-411.949576,0.000000
386.399718,-407.588815,0.000000
389.260212,-404.277007,0.000000
390.442068,-403.124043,0.000000
394.004138,-398.317529,0.000000
397.033289,-394.489658,0.000000
398.223791,-393.002628,0.000000
401.447857,-389.438692,0.000000
402.384645,-387.920105,0.000000
405.401232,-383.839509,0.000000
408.076602,-380.079671,0.000000
409.756074,-378.686227,0.000000
412.653920,-375.201916,0.000000
413.778265,-374.022261,0.000000
416.106829,-370.869083,0.000000
416.840926,-369.711815,0.000000
419.731668,-366.166385,0.000000
420.266503,-365.311135,0.000000
421.138114,-364.531817,0.000000
423.825581,-361.117344,0.000000
424.298152,-359.916616,0.000000
427.370523,-356.706161,0.000000
428.167470,-355.748782,0.000000
428.756010,-354.775836,0.000000
431.708644,-351.324297,0.000000
432.286637,-350.163313,0.000000
434.972743,-346.819660,0.000000
436.138895,-345.501956,0.000000
438.969377,-341.710277,0.000000
440.147152,-340.149946,0.000000
443.779238,-336.552240,0.000000
446.797630,-332.444198,0.000000
448.016337,-331.210735,0.000000
450.803317,-327.387466,0.000000
451.870379,-325.564441,0.000000
455.432776,-321.707427,0.000000
458.343869,-317.739189,0.000000
459.356550,-316.351704,0.000000
462.351885,-312.186325,0.000000
466.019920,-308.336951,0.000000
467.194204,-307.284051,0.000000
469.902836,-303.654244,0.000000
471.631795,-301.954712,0.000000
474.411229,-298.713002,0.000000
