distance,bank_angle
0.0,-0.17681
0.999796,-0.176955
1.999593,-0.177098
2.999389,-0.177238
3.999186,-0.177375
4.998982,-0.177509
5.998778,-0.177638
6.998575,-0.177763
7.998371,-0.177884
8.998167,-0.178
9.997964,-0.178112
10.99776,-0.178218
11.997557,-0.17832
12.997353,-0.178417
13.997149,-0.178509
14.996946,-0.178597
15.996742,-0.17868
16.996539,-0.178758
17.996335,-0.178833
18.996131,-0.178904
19.995928,-0.178972
20.995724,-0.179036
21.99552,-0.179097
22.995317,-0.179156
23.995113,-0.179213
24.99491,-0.179267
25.994706,-0.17932
26.994502,-0.179372
27.994299,-0.179423
28.994095,-0.179474
29.993892,-0.179524
30.993688,-0.179574
31.993484,-0.179624
32.993281,-0.179675
33.993077,-0.179726
34.992873,-0.179777
35.99267,-0.17983
36.992466,-0.179883
37.992263,-0.179938
38.992059,-0.179994
39.991855,-0.180051
40.991652,-0.180109
41.991448,-0.180168
42.991244,-0.180228
43.991041,-0.18029
44.990837,-0.180353
45.990634,-0.180416
46.99043,-0.180481
47.990226,-0.180546
48.990023,-0.180612
49.989819,-0.180679
50.989616,-0.180745
51.989412,-0.180812
52.989208,-0.180878
53.989005,-0.180944
54.988801,-0.18101
55.988597,-0.181074
56.988394,-0.181137
57.98819,-0.181198
58.987987,-0.181257
59.987783,-0.181314
60.987579,-0.181368
61.987376,-0.18142
62.987172,-0.181468
63.986969,-0.181513
64.986765,-0.181554
65.986561,-0.181591
66.986358,-0.181624
67.986154,-0.181653
68.98595,-0.181678
69.985747,-0.181698
70.985543,-0.181713
71.98534,-0.181724
72.985136,-0.181729
73.984932,-0.18173
74.984729,-0.181727
75.984525,-0.181718
76.984322,-0.181705
77.984118,-0.181686
78.983914,-0.181664
79.983711,-0.181636
80.983507,-0.181604
81.983303,-0.181568
82.9831,-0.181527
83.982896,-0.181481
84.982693,-0.181432
85.982489,-0.181378
86.982285,-0.181321
87.982082,-0.181259
88.981878,-0.181194
89.981675,-0.181125
90.981471,-0.181052
91.981267,-0.180975
92.981064,-0.180895
93.98086,-0.180812
94.980656,-0.180725
95.980453,-0.180635
