x,y,z,bank_angle
-25.301818,-13.902440,-0.000082,-0.000000
-33.832446,-22.162984,-0.000145,0.000001
-44.253134,-32.799291,-0.000252,0.000003
-55.612902,-45.580156,-0.000436,0.000003
-68.677045,-61.085978,-0.000695,-0.000001
-80.044367,-75.417320,-0.000966,0.000003
-89.634007,-88.853834,-0.001270,0.000007
-98.975077,-103.059023,-0.001630,0.000012
-109.400513,-120.060750,-0.002095,0.000010
-118.428656,-136.207793,-0.002579,0.000012
-127.062960,-153.338991,-0.003137,0.000009
-135.125198,-171.044296,-0.003757,0.000007
-144.192473,-192.419133,-0.004575,0.000006
-154.417565,-217.250978,-0.005631,0.000004
-165.643211,-244.642050,-0.006908,0.000000
-174.719624,-266.757980,-0.008015,0.000018
-183.578926,-288.658056,-0.009223,0.000029
-191.293996,-308.668806,-0.010402,0.000043
-199.446492,-332.198728,-0.011823,0.000037
-204.652945,-351.273456,-0.013006,0.000026
-207.606742,-365.023679,-0.013863,0.000020
-209.103214,-375.982741,-0.014548,0.000017
-209.789359,-383.951246,-0.015048,0.000040
-210.328790,-394.555028,-0.015715,0.000036
-210.213741,-406.001861,-0.016437,0.000031
-209.872523,-416.842225,-0.017123,0.000022
-208.739031,-428.560229,-0.017865,0.000011
-207.547054,-437.143762,-0.018411,0.000028
-205.353175,-449.083371,-0.019172,0.000023
-203.418319,-457.557241,-0.019713,0.000048
-200.134079,-469.222951,-0.020460,0.000041
-197.326039,-477.726617,-0.021006,0.000058
-192.921480,-489.286739,-0.021751,0.000051
-189.321122,-497.549606,-0.022284,0.000072
-183.661441,-508.977320,-0.023024,0.000069
-178.933276,-517.464929,-0.023576,0.000082
-171.933092,-528.758568,-0.024312,0.000078
-164.158546,-539.502337,-0.025018,0.000078
-156.024530,-550.098697,-0.025714,0.000080
-147.223984,-560.046784,-0.026374,0.000082
-140.475275,-566.918988,-0.026831,0.000091
-130.829951,-575.842961,-0.027428,0.000089
-120.348852,-584.164341,-0.027989,0.000084
-109.409434,-592.424500,-0.028549,0.000082
-99.073565,-599.196469,-0.029012,0.000084
-89.106111,-604.813916,-0.029401,0.000090
-79.276438,-609.978948,-0.029761,0.000095
-69.064821,-614.663451,-0.030093,0.000094
-61.559615,-617.740458,-0.030314,0.000098
-50.591611,-621.640724,-0.030600,0.000097
-42.300071,-624.168950,-0.030787,0.000098
-30.330052,-627.278133,-0.031025,0.000095
-21.629613,-629.105908,-0.031171,0.000099
-9.881245,-631.050572,-0.031333,0.000097
1.602027,-632.183067,-0.031443,0.000098
13.052350,-633.012780,-0.031534,0.000099
24.781256,-633.233594,-0.031590,0.000100
36.084798,-632.719924,-0.031598,0.000099
47.172661,-631.958591,-0.031589,0.000099
54.342401,-631.189869,-0.031566,0.000100
60.752777,-630.153139,-0.031522,0.000097
66.689861,-629.056668,-0.031474,0.000094
75.863577,-627.090866,-0.031382,0.000099
82.673841,-625.379208,-0.031299,0.000096
92.406202,-622.604749,-0.031160,0.000099
99.393187,-620.324148,-0.031042,0.000097
109.228872,-616.748064,-0.030855,0.000098
116.437507,-613.828418,-0.030700,0.000098
126.722488,-609.290900,-0.030460,0.000097
134.193206,-605.705944,-0.030270,0.000097
141.566565,-602.009826,-0.030074,0.000095
148.631372,-598.017771,-0.029861,0.000086
154.969774,-594.338118,-0.029666,0.000080
162.751977,-589.591972,-0.029415,0.000092
167.471315,-586.532687,-0.029255,0.000088
175.819626,-580.725414,-0.028950,0.000095
182.494972,-575.934140,-0.028702,0.000094
189.444395,-570.863572,-0.028443,0.000094
194.021419,-567.456552,-0.028279,0.000060
206.172351,-557.715297,-0.027822,0.000070
220.090563,-546.426449,-0.027312,0.000066
241.618560,-528.724716,-0.026596,0.000091
257.591516,-515.509605,-0.026136,0.000081
278.566716,-498.095779,-0.025619,0.000089
300.398472,-479.976421,-0.025256,0.000081
327.169507,-457.783711,-0.024934,0.000088
355.381166,-434.400846,-0.024795,0.000086
376.399421,-416.961076,-0.024807,0.000087
397.597295,-399.366059,-0.024955,0.000085
419.076611,-381.557703,-0.025272,0.000083
441.074070,-363.326111,-0.025661,0.000086
463.851690,-344.446508,-0.026218,0.000090
486.100512,-325.848733,-0.026926,0.000088
512.165192,-303.684348,-0.027855,0.000064
530.638326,-287.602131,-0.028576,0.000062
540.974835,-278.153134,-0.029004,0.000085
544.408827,-274.681822,-0.029144,0.000094
546.758548,-272.210086,-0.029240,0.000084
553.503663,-264.715365,-0.029518,0.000094
560.113989,-257.302033,-0.029791,0.000077
566.829142,-249.718348,-0.030067,0.000046
568.784970,-247.388495,-0.030148,0.000068
570.799197,-244.913632,-0.030231,0.000090
574.430772,-240.172377,-0.030377,0.000096
577.951515,-235.422065,-0.030518,0.000098
581.300030,-230.793836,-0.030650,0.000097
584.952501,-225.174397,-0.030786,0.000098
588.637906,-219.355941,-0.030922,0.000097
592.140605,-213.732443,-0.031049,0.000096
593.485368,-211.477718,-0.031098,0.000098
595.679193,-207.441611,-0.031172,0.000098
597.922432,-203.273810,-0.031247,0.000097
600.161173,-199.046453,-0.031321,0.000096
601.107574,-197.160931,-0.031351,0.000099
603.207003,-192.609351,-0.031412,0.000099
605.262997,-188.045383,-0.031470,0.000098
607.407331,-183.166980,-0.031529,0.000098
