x,y,z,bank_angle
-18.080761,-6.186015,-0.000057,-0.000000
-25.407225,-13.030504,-0.000091,-0.000001
-32.568746,-20.050758,-0.000141,-0.000001
-39.565509,-27.239810,-0.000206,-0.000001
-46.397695,-34.590693,-0.000286,-0.000001
-53.065489,-42.096441,-0.000381,-0.000001
-59.569072,-49.750087,-0.000492,-0.000001
-65.908629,-57.544665,-0.000618,-0.000001
-72.084343,-65.473207,-0.000759,-0.000001
-78.096396,-73.528748,-0.000915,-0.000001
-83.944972,-81.704320,-0.001086,-0.000002
-89.630320,-89.992972,-0.001273,-0.000002
-95.154016,-98.388041,-0.001475,-0.000002
-100.520093,-106.883398,-0.001692,-0.000003
-105.735017,-115.473448,-0.001925,-0.000003
-109.971957,-122.693149,-0.002128,0.000002
-114.092023,-129.982310,-0.002344,0.000007
-118.102182,-137.336470,-0.002573,0.000013
-122.843871,-146.210871,-0.002859,0.000014
-127.470627,-155.155910,-0.003161,0.000014
-131.990127,-164.166255,-0.003479,0.000015
-136.410052,-173.236572,-0.003812,0.000015
-140.738078,-182.361530,-0.004161,0.000015
-144.981885,-191.535796,-0.004526,0.000016
-149.149151,-200.754036,-0.004907,0.000016
-153.247554,-210.010918,-0.005303,0.000016
-157.284774,-219.301109,-0.005716,0.000016
-161.268487,-228.619277,-0.006144,0.000016
-165.206268,-237.960126,-0.006588,0.000016
-169.101945,-247.319538,-0.007049,0.000016
-172.949553,-256.696245,-0.007525,0.000015
-176.732587,-266.091986,-0.008017,0.000015
-180.427639,-275.510362,-0.008523,0.000014
-184.010454,-284.955172,-0.009043,0.000013
-187.456775,-294.430213,-0.009577,0.000012
-190.742346,-303.939283,-0.010123,0.000012
-193.842912,-313.486180,-0.010681,0.000011
-196.734216,-323.074700,-0.011251,0.000011
-199.392002,-332.708641,-0.011831,0.000010
-201.792014,-342.391802,-0.012422,0.000010
-203.909997,-352.127979,-0.013021,0.000010
-205.721693,-361.920969,-0.013630,0.000010
-207.202848,-371.774572,-0.014246,0.000010
-208.329305,-381.692338,-0.014870,0.000010
-209.078559,-391.673763,-0.015501,0.000011
-209.463260,-400.060505,-0.016031,0.000026
-209.508465,-408.483901,-0.016565,0.000040
-209.205186,-416.923056,-0.017101,0.000052
-208.515695,-427.003695,-0.017744,0.000053
-207.396177,-437.050884,-0.018385,0.000054
-205.841626,-447.034755,-0.019025,0.000054
-203.847042,-456.925434,-0.019659,0.000055
-201.407875,-466.693566,-0.020288,0.000056
-198.522654,-476.313338,-0.020908,0.000056
-195.193939,-485.763566,-0.021520,0.000057
-191.427868,-495.027184,-0.022121,0.000057
-187.231530,-504.088214,-0.022710,0.000058
-182.612015,-512.930685,-0.023287,0.000058
-177.577233,-521.539185,-0.023850,0.000058
-172.138218,-529.900453,-0.024398,0.000058
-166.309531,-538.003654,-0.024932,0.000058
-160.108447,-545.839815,-0.025449,0.000058
-153.552640,-553.400244,-0.025950,0.000058
-147.872096,-559.516156,-0.026356,0.000072
-141.925245,-565.391657,-0.026748,0.000084
-135.726451,-571.019677,-0.027125,0.000090
-128.077770,-577.553237,-0.027564,0.000091
-120.152809,-583.772466,-0.027984,0.000092
-111.969244,-589.668671,-0.028384,0.000092
-103.544752,-595.233158,-0.028764,0.000093
-94.897009,-600.457234,-0.029123,0.000093
-86.043693,-605.332205,-0.029461,0.000093
-77.002479,-609.849376,-0.029776,0.000093
-67.791045,-614.000055,-0.030068,0.000093
-58.427067,-617.775547,-0.030338,0.000093
-48.928222,-621.167160,-0.030583,0.000093
-39.312186,-624.166197,-0.030804,0.000092
-29.596636,-626.763968,-0.031000,0.000092
-19.799249,-628.951776,-0.031170,0.000092
-11.597987,-630.521979,-0.031296,0.000099
-3.353596,-631.741899,-0.031400,0.000101
4.919563,-632.604466,-0.031481,0.000099
14.867413,-633.301561,-0.031557,0.000099
24.818659,-633.550097,-0.031605,0.000099
34.755726,-633.341667,-0.031624,0.000100
44.662238,-632.671227,-0.031614,0.000099
54.523685,-631.538980,-0.031574,0.000099
64.327333,-629.950113,-0.031506,0.000099
74.061393,-627.912437,-0.031410,0.000099
83.715806,-625.438458,-0.031287,0.000098
93.282732,-622.546685,-0.031139,0.000098
102.756281,-619.260912,-0.030967,0.000097
112.131059,-615.606271,-0.030774,0.000097
121.401670,-611.607899,-0.030562,0.000097
130.562722,-607.290931,-0.030334,0.000096
139.608819,-602.680500,-0.030091,0.000096
148.534568,-597.801743,-0.029836,0.000096
157.335278,-592.679501,-0.029570,0.000095
166.008995,-587.337476,-0.029297,0.000095
174.556865,-581.798076,-0.029017,0.000095
182.982440,-576.082712,-0.028734,0.000094
191.289634,-570.212638,-0.028449,0.000094
199.482699,-564.208453,-0.028164,0.000093
207.567459,-558.087686,-0.027882,0.000093
215.551591,-551.864243,-0.027603,0.000092
223.444290,-545.549063,-0.027328,0.000092
231.255034,-539.152534,-0.027060,0.000092
238.993301,-532.685042,-0.026799,0.000091
245.408759,-527.274897,-0.026589,0.000090
251.776225,-521.822636,-0.026387,0.000084
258.103512,-516.336293,-0.026193,0.000075
265.658241,-509.705979,-0.025968,0.000077
273.182885,-503.049575,-0.025754,0.000078
280.686923,-496.377468,-0.025555,0.000079
288.179833,-489.700045,-0.025371,0.000081
295.671091,-483.027693,-0.025202,0.000082
303.170178,-476.370799,-0.025052,0.000083
310.686570,-469.739749,-0.024919,0.000084
318.229746,-463.144931,-0.024807,0.000085
325.809175,-456.596718,-0.024716,0.000086
333.433403,-450.104215,-0.024647,0.000087
341.108399,-443.672971,-0.024600,0.000088
348.837280,-437.304658,-0.024577,0.000089
356.619719,-430.996944,-0.024577,0.000089
364.452441,-424.744727,-0.024598,0.000090
372.329475,-418.540440,-0.024641,0.000090
380.243662,-412.375431,-0.024705,0.000090
388.187815,-406.241022,-0.024788,0.000091
396.154745,-400.128535,-0.024890,0.000091
404.137265,-394.029290,-0.025009,0.000091
412.128185,-387.934609,-0.025144,0.000091
420.120319,-381.835814,-0.025296,0.000091
