x,y,height,bank_angle
-7.419212,6.639979,38.299985,-0.176810
-11.074240,1.957685,38.556326,-0.177638
-14.672741,-2.764186,38.624103,-0.178320
-18.208724,-7.529981,38.560252,-0.178833
-21.676195,-12.344044,38.421707,-0.179213
-25.069565,-17.210444,38.265160,-0.179524
-28.397973,-22.123003,38.138338,-0.179830
-31.688580,-27.062987,38.075643,-0.180168
-34.955881,-32.019872,38.068370,-0.180481
-38.188998,-36.999327,38.061553,-0.180878
-41.357512,-42.018805,38.029361,-0.181257
-44.430053,-47.095818,37.997928,-0.181554
-47.389249,-52.239963,37.984096,-0.181713
-50.267073,-57.432503,37.994349,-0.181705
-53.096122,-62.652726,38.020589,-0.181527
-55.884887,-67.890838,38.017645,-0.181194
-58.633248,-73.143210,37.943337,-0.180725
-61.361208,-78.403790,37.866426,-0.180141
-64.100532,-83.662606,37.897763,-0.179456
-66.823910,-88.935130,38.011650,-0.178678
-69.480327,-94.243150,38.120320,-0.177793
-72.022634,-99.605825,38.142007,-0.176779
-74.451552,-105.019840,38.070255,-0.175615
-76.825066,-110.454850,37.991080,-0.174314
-79.182621,-115.890061,37.968407,-0.173155
-81.403908,-121.376971,37.960571,-0.171727
-83.350264,-126.976323,37.902816,-0.170306
-85.209339,-132.616592,37.776888,-0.168935
-87.145346,-138.227875,37.628015,-0.167651
-88.989517,-143.862386,37.507934,-0.166490
-90.589975,-149.570198,37.462471,-0.165485
-92.052108,-155.321488,37.489064,-0.164678
-93.523410,-161.072428,37.558094,-0.164118
-95.006350,-166.820820,37.641296,-0.163850
-96.450475,-172.579606,37.714943,-0.163908
-97.810892,-178.358388,37.763535,-0.164305
-99.057707,-184.161034,37.764197,-0.165042
-100.200013,-189.984735,37.716797,-0.166107
-101.283414,-195.820503,37.642654,-0.167480
-102.372775,-201.655496,37.563297,-0.168847
-103.498232,-207.483534,37.499416,-0.170738
-104.649017,-213.306408,37.469505,-0.172887
-105.780874,-219.132497,37.471877,-0.176129
-107.456375,-227.804016,37.505710,-0.179292
-108.627740,-233.621986,37.456888,-0.182226
-109.766141,-239.446520,37.410108,-0.185344
-110.867330,-245.278473,37.381618,-0.188623
-111.941171,-251.115828,37.375364,-0.192035
-112.989409,-256.958003,37.383487,-0.195551
-114.020330,-262.803330,37.397862,-0.199144
-115.060975,-268.646903,37.425454,-0.202788
-116.139391,-274.483639,37.474067,-0.206462
-117.268834,-280.310896,37.541081,-0.210150
-118.429722,-286.131512,37.602232,-0.213223
-119.596696,-291.949968,37.639511,-0.216907
-120.748978,-297.772090,37.660220,-0.220590
-121.865656,-303.604097,37.678652,-0.224280
-122.901948,-309.451978,37.693461,-0.227986
