x,y,height,bank_angle
-10.203361,10.793726,20.908162,-0.176810
-14.046129,6.138621,21.087442,-0.177638
-17.768272,1.396557,21.143965,-0.178320
-21.384640,-3.421639,21.111145,-0.178833
-24.911428,-8.304111,21.023833,-0.179213
-28.364826,-13.239067,20.915529,-0.179524
-31.759575,-18.215763,20.820985,-0.179830
-35.111820,-23.222461,20.771897,-0.180168
-38.417166,-28.260954,20.758657,-0.180546
-41.660932,-33.339451,20.731359,-0.181010
-45.510165,-39.829565,20.730053,-0.181420
-48.690149,-44.946184,20.694226,-0.181653
-51.734452,-50.145221,20.706083,-0.181730
-54.655200,-55.416826,20.757557,-0.181636
-57.493039,-60.733989,20.813506,-0.181378
-60.234921,-66.099294,20.803474,-0.180975
-62.875186,-71.512555,20.674535,-0.180446
-65.476705,-76.943816,20.525101,-0.179810
-68.109152,-82.361460,20.498670,-0.179079
-70.776539,-87.763762,20.595835,-0.178250
-73.424464,-93.176374,20.727110,-0.177304
-75.997669,-98.625204,20.803505,-0.176216
-78.441844,-104.132527,20.794732,-0.174980
-80.766409,-109.689125,20.751636,-0.173624
-82.937816,-115.305164,20.704676,-0.172204
-85.010121,-120.959504,20.643577,-0.170776
-87.002586,-126.644499,20.543734,-0.169385
-88.968608,-132.339038,20.394012,-0.168068
-90.882106,-138.049832,20.230915,-0.166861
-92.703426,-143.788804,20.114018,-0.165800
-94.387530,-149.569792,20.095903,-0.164922
-95.942771,-155.389247,20.163593,-0.164274
-97.397170,-161.237294,20.273813,-0.163904
-98.779030,-167.104310,20.383094,-0.163851
-100.113728,-172.981867,20.453502,-0.164135
-101.408051,-178.867562,20.481289,-0.164759
-102.661689,-184.761368,20.475741,-0.165716
-103.874303,-190.663364,20.446169,-0.166989
-105.046737,-196.573441,20.401847,-0.168847
-106.199867,-202.487469,20.351354,-0.170738
-107.369114,-208.398422,20.302505,-0.172887
-108.583168,-214.300592,20.261117,-0.175280
-109.822629,-220.197643,20.219166,-0.177901
-111.047286,-226.097298,20.162651,-0.180735
-112.231037,-232.004621,20.085855,-0.183764
-113.383791,-237.917883,20.004167,-0.186965
-114.521088,-243.834290,19.936272,-0.190314
-115.658174,-249.751094,19.900450,-0.193781
-116.801511,-255.667091,19.902834,-0.197339
-117.947503,-261.582851,19.935658,-0.200961
-119.091994,-267.499025,19.990391,-0.204623
-120.223945,-273.417474,20.059253,-0.208305
-121.353393,-279.336292,20.132292,-0.211994
-122.468473,-285.257516,20.202776,-0.215680
-123.561956,-291.182634,20.268250,-0.219362
-124.625921,-297.113312,20.327648,-0.223048
-125.652428,-303.051191,20.379903,-0.226748
-126.633154,-308.997740,20.424205,-0.230469
-127.557805,-314.953756,20.460913,-0.234212
-128.415396,-320.919747,20.490712,-0.237983
-129.194873,-326.896058,20.514288,-0.241784
-129.887961,-332.882510,20.533888,-0.245617
-130.478553,-338.879616,20.547073,-0.249484
-130.957558,-344.886741,20.556476,-0.253382
-131.315265,-350.902492,20.568069,-0.257302
-131.547840,-356.924428,20.592729,-0.261219
-131.638483,-362.950442,20.636230,-0.265096
-131.584033,-368.976582,20.689540,-0.268891
-131.357192,-374.997501,20.706289,-0.272576
-130.976351,-381.010807,20.686874,-0.276124
-130.501452,-387.018809,20.702686,-0.279503
-129.938865,-393.017801,20.778128,-0.282678
-129.168118,-398.990840,20.827358,-0.285623
-128.161603,-404.932417,20.809853,-0.288336
-127.027923,-410.853285,20.765445,-0.290825
-125.782525,-416.748537,20.720058,-0.293448
-124.340968,-422.597092,20.685898,-0.295438
-122.714694,-428.399633,20.641485,-0.297168
-120.983874,-434.171837,20.549730,-0.298627
-119.138934,-439.905985,20.443415,-0.299814
-117.120341,-445.581885,20.394245,-0.300743
-114.940709,-451.200817,20.412239,-0.301474
-112.648162,-456.774421,20.470462,-0.302105
-110.242607,-462.298664,20.519460,-0.302726
-107.695556,-467.759722,20.504171,-0.303363
-104.987536,-473.143037,20.440153,-0.303976
-102.109683,-478.436123,20.389878,-0.304493
-99.094311,-483.653307,20.367257,-0.304855
-95.997014,-488.824013,20.354285,-0.305038
-92.797994,-493.930392,20.350863,-0.305076
-89.431617,-498.925984,20.367321,-0.305051
-85.907353,-503.814506,20.391255,-0.305041
-82.281600,-508.630369,20.395211,-0.305073
-78.543638,-513.356434,20.364462,-0.305115
-74.634801,-517.939402,20.297023,-0.305105
-70.560765,-522.379851,20.236625,-0.304982
-66.387595,-526.728776,20.257902,-0.304773
-64.255576,-528.892269,20.324330,-0.304541
-59.931118,-533.086501,20.301373,-0.304128
-55.479619,-537.146509,20.196550,-0.303706
-50.919363,-541.083894,20.110338,-0.303334
-46.273624,-544.921463,20.077899,-0.303034
-41.561283,-548.678376,20.103333,-0.302814
-36.763072,-552.322423,20.162674,-0.302690
-31.844877,-555.801484,20.221727,-0.302679
-26.814719,-559.120446,20.268741,-0.302784
-21.700782,-562.311049,20.304564,-0.302982
-16.511523,-565.375287,20.314050,-0.303222
-11.239598,-568.291543,20.269752,-0.303445
-5.886442,-571.056156,20.187203,-0.303607
-0.473909,-573.705534,20.148971,-0.303697
4.987066,-576.253192,20.198875,-0.303732
10.511177,-578.658084,20.264611,-0.303754
16.106204,-580.895039,20.291987,-0.303794
21.761645,-582.978761,20.315381,-0.303862
27.465225,-584.926449,20.364789,-0.303937
33.219463,-586.712677,20.416937,-0.303990
39.026618,-588.315616,20.445176,-0.303989
44.872599,-589.778959,20.466320,-0.303916
50.740910,-591.155995,20.509812,-0.303771
56.632726,-592.419273,20.564427,-0.303564
62.560737,-593.489462,20.591217,-0.303303
68.525649,-594.345681,20.587980,-0.302982
74.513156,-595.040218,20.594235,-0.302586
80.513183,-595.600804,20.623647,-0.302109
86.524606,-596.003944,20.642505,-0.301574
92.545629,-596.239283,20.635200,-0.301037
98.571261,-596.333145,20.640189,-0.300564
104.596537,-596.311280,20.692230,-0.300194
110.619601,-596.163161,20.771784,-0.299909
116.638471,-595.860944,20.846995,-0.299645
122.644699,-595.375628,20.909267,-0.299316
128.626874,-594.669497,20.961426,-0.298839
134.587247,-593.785844,21.003975,-0.298146
140.538279,-592.825333,21.035486,-0.297191
146.471321,-591.770977,21.055077,-0.295939
152.357632,-590.496473,21.059141,-0.294373
158.182292,-588.950798,21.051254,-0.292485
163.955358,-587.216237,21.039480,-0.290268
169.686616,-585.356626,21.030502,-0.287695
175.386995,-583.403873,21.019309,-0.284712
181.054747,-581.356261,21.006851,-0.281252
186.666261,-579.163189,20.996513,-0.277253
192.206762,-576.795819,20.997753,-0.272693
197.685685,-574.284425,21.016959,-0.267595
203.112057,-571.660603,21.062312,-0.262009
208.460836,-568.888183,21.116374,-0.255987
