x,y,height,bank_angle
-34.098222,-40.246284,18.970009,-0.176810
-37.329211,-45.165246,18.999652,-0.177638
-40.475697,-50.137944,18.998847,-0.178320
-43.473634,-55.201287,18.966023,-0.178833
-46.340467,-60.341798,18.920309,-0.179213
-49.143257,-65.517967,18.887230,-0.179474
-51.919428,-70.706993,18.894019,-0.179777
-54.693619,-75.894329,18.952332,-0.180109
-57.463963,-81.082825,19.035871,-0.180481
-60.211607,-86.284773,19.108756,-0.180878
-62.921064,-91.509481,19.145852,-0.181257
-65.572781,-96.764421,19.146736,-0.181554
-68.150455,-102.054729,19.116538,-0.181713
-70.656190,-107.378340,19.073232,-0.181705
-73.175309,-112.698153,19.058056,-0.181568
-75.703021,-118.014461,19.095284,-0.181259
-78.090294,-123.387767,19.158666,-0.180812
-80.122687,-128.904582,19.200834,-0.180245
-81.963881,-134.499622,19.219851,-0.179577
-83.799016,-140.094367,19.222586,-0.178814
-85.520062,-145.719312,19.201576,-0.177949
-87.019553,-151.408432,19.152414,-0.176958
-88.411733,-157.128561,19.085448,-0.176020
-89.830051,-162.840627,19.015270,-0.174761
-91.262945,-168.547532,18.958017,-0.173390
-92.649039,-174.266629,18.928832,-0.171966
-93.951201,-180.006321,18.916889,-0.170541
-95.154415,-185.767220,18.890950,-0.168935
-96.794356,-194.395969,18.798566,-0.167249
-97.938044,-200.169549,18.743018,-0.166135
-99.112767,-205.936972,18.704381,-0.165335
-100.276619,-211.706229,18.695365,-0.164566
-101.401672,-217.482665,18.722303,-0.164052
-102.527070,-223.258853,18.763527,-0.163836
-103.705459,-229.024807,18.792009,-0.163950
-104.926618,-234.782684,18.810366,-0.164405
-106.140716,-240.542263,18.838769,-0.165197
-107.324947,-246.307816,18.874785,-0.166315
-108.470910,-252.080685,18.904086,-0.167738
-109.570865,-257.862086,18.912689,-0.169144
-110.633660,-263.650356,18.900244,-0.171079
-111.687440,-269.440484,18.882258,-0.173270
-112.754474,-275.228489,18.875821,-0.175701
-113.863311,-281.009065,18.885430,-0.178359
-114.988871,-286.786000,18.894938,-0.181227
-116.109863,-292.562704,18.888805,-0.184286
-117.210260,-298.343695,18.875417,-0.187514
-118.273884,-304.133861,18.870150,-0.190884
-119.260106,-309.938116,18.872423,-0.193781
-120.109835,-315.761681,18.870823,-0.197339
-120.785182,-321.607194,18.857117,-0.200961
-121.432958,-327.455835,18.851453,-0.204623
-122.194418,-333.290763,18.873324,-0.208305
-122.874336,-339.137916,18.885257,-0.211994
-123.362208,-345.004207,18.878319,-0.215680
-123.628565,-350.882587,18.861061,-0.219362
-123.734376,-356.766696,18.855988,-0.223048
-123.787378,-362.651762,18.887715,-0.226131
-123.827061,-368.536169,18.940354,-0.229847
-123.791713,-374.421499,18.953023,-0.233587
-123.609871,-380.302823,18.938032,-0.237353
-123.184641,-386.169929,18.950630,-0.241148
-122.509936,-392.017624,19.003796,-0.244976
-121.684188,-397.846644,19.048178,-0.248837
-120.727538,-403.654272,19.074260,-0.252730
-119.633267,-409.436865,19.093762,-0.256648
-118.395684,-415.190844,19.114796,-0.259916
-117.014144,-420.912706,19.150152,-0.263811
-115.489743,-426.598854,19.205677,-0.267637
-113.808070,-432.239247,19.258650,-0.271362
-111.950565,-437.821967,19.273907,-0.274959
-109.935402,-443.350413,19.247404,-0.278398
-107.802966,-448.837681,19.200283,-0.281644
-105.592612,-454.296273,19.153388,-0.284667
-103.296228,-459.717680,19.115104,-0.287008
-100.852348,-465.069959,19.082041,-0.289608
-98.204159,-470.323248,19.051718,-0.291987
